#OTU ID	ERR8056034	ERR8056035	ERR8056037	ERR8056042	ERR8056045	ERR8056051	ERR8056057	ERR8056066	ERR8056069	ERR8056078
Otu1630	3	10	0	1	0	5	0	0	0	0
Otu4619	3	1	1	0	2	1	0	0	0	0
Otu7926	3	0	0	0	0	0	0	0	0	0
Otu4726	3	0	0	0	4	1	0	0	0	0
Otu396	4	6	2	4	92	15	9	4	3	13
Otu6789	1	3	1	4	0	0	0	0	0	0
Otu1162	3	50	3	5	0	6	0	0	0	0
Otu5627	1	2	0	0	0	1	0	0	0	0
Otu9	1	5	0	504	1279	282	178	9	770	100
Otu4867	2	4	0	0	0	0	0	0	0	0
Otu2785	1	6	0	0	0	1	0	0	0	0
Otu749	1	1	0	1	0	0	0	13	8	9
Otu615	1	16	0	1	0	23	0	0	0	0
Otu2723	6	3	1	1	0	2	1	0	0	2
Otu195	1	0	142	1	0	0	0	0	0	0
Otu7911	3	0	0	0	0	0	0	0	0	0
Otu849	2	15	1	2	8	13	2	0	0	0
Otu818	1	53	0	7	3	8	0	0	0	0
Otu4366	1	43	3	3	2	4	0	0	0	0
Otu2268	6	56	21	7	6	78	1	0	0	0
Otu1862	1	15	2	7	1	13	0	0	0	0
Otu5027	1	4	0	0	0	0	0	0	0	0
Otu55	4	52	20	49	126	286	179	372	198	222
Otu1391	2	5	0	5	4	11	0	0	0	0
Otu2314	1	14	0	2	0	5	0	0	0	0
Otu7817	1	1	0	1	1	1	0	0	0	0
Otu697	3	42	4	14	7	21	0	0	0	0
Otu2465	1	0	0	0	3	4	0	2	0	7
Otu7918	1	3	0	0	0	0	0	0	0	0
Otu5477	1	0	0	0	0	2	0	0	0	0
Otu888	1	0	2	4	14	3	38	0	19	1
Otu2488	1	3	0	1	8	16	0	0	0	0
Otu4457	2	1	0	0	3	2	0	0	0	0
Otu579	1	1	0	2	0	0	25	74	0	14
Otu3527	1	0	0	2	1	5	26	9	0	16
Otu333	5	83	0	21	4	29	0	0	0	0
Otu1447	1	3	0	0	0	9	0	0	0	0
Otu485	6	40	37	10	32	19	3	3	22	4
Otu4294	1	0	0	0	4	9	1	0	0	12
Otu906	1	22	0	5	21	39	0	0	1	0
Otu5806	1	4	0	0	0	0	0	0	0	0
Otu801	1	0	0	6	12	0	6	0	11	7
Otu1400	1	0	3	1	1	1	2	0	4	6
Otu4305	1	0	6	0	0	0	0	0	0	0
Otu5750	3	1	0	0	0	0	0	0	0	0
