#OTU ID	ERR8056034	ERR8056035	ERR8056037	ERR8056042	ERR8056045	ERR8056051	ERR8056057	ERR8056066	ERR8056069	ERR8056078
Zotu507	7	59	18	0	0	35	0	0	0	0
Zotu1910	1	17	0	4	8	27	12	0	0	8
Zotu4468	19	0	0	0	0	0	0	0	0	0
Zotu1501	44	0	0	0	0	1	0	0	0	0
Zotu3134	16	0	0	0	2	2	0	0	0	0
Zotu3816	1	0	0	0	12	0	1	6	0	0
Zotu72	9	504	7	23	71	266	1	0	0	8
Zotu2461	22	0	0	0	0	0	0	0	0	0
Zotu979	5	22	1	2	5	22	0	0	0	0
Zotu2155	2	41	5	6	2	2	0	0	0	0
Zotu3707	9	3	0	2	0	0	0	0	1	0
Zotu2779	6	2	5	5	4	1	2	0	0	0
Zotu676	23	29	5	0	6	4	0	0	0	0
Zotu3547	16	0	2	0	3	1	0	0	0	0
Zotu2730	7	1	16	0	0	0	0	0	0	0
Zotu314	12	11	4	1	4	3	11	65	22	37
Zotu829	3	0	0	7	5	64	0	0	0	0
Zotu307	5	4	3	0	159	11	0	0	3	0
Zotu4387	12	0	0	0	0	0	0	0	0	0
Zotu492	41	18	5	8	23	17	1	0	15	0
Zotu188	18	14	5	39	0	30	133	19	21	39
Zotu2690	15	0	0	0	0	2	0	0	1	0
Zotu1496	36	0	1	0	0	0	0	0	0	0
Zotu1869	4	15	0	1	0	15	0	0	0	0
Zotu3731	2	0	0	13	0	0	0	0	3	4
Zotu196	51	16	15	14	70	49	15	2	24	4
Zotu1524	4	25	1	10	1	17	0	0	0	0
Zotu1439	9	9	10	0	9	3	1	0	2	2
Zotu831	5	33	29	4	0	0	0	0	0	0
Zotu1412	3	36	0	10	11	35	0	0	0	0
Zotu1408	14	40	6	1	0	0	0	0	0	0
Zotu546	20	14	65	2	0	16	0	0	0	0
Zotu2178	1	15	0	1	11	21	0	0	0	0
Zotu1350	1	5	1	14	8	2	2	0	13	0
Zotu3174	5	0	1	0	8	7	0	0	12	0
Zotu311	2	117	4	25	2	15	0	0	0	0
Zotu2058	5	26	17	17	2	15	6	0	3	1
Zotu1060	21	9	15	0	0	3	0	0	0	0
Zotu2631	4	2	10	0	0	9	0	0	2	1
Zotu1269	13	0	0	2	4	0	2	7	42	2
Zotu2726	10	5	13	0	0	6	0	0	0	0
Zotu4593	5	0	0	0	5	0	12	0	3	0
Zotu926	36	6	13	5	2	4	0	0	0	0
Zotu3484	12	0	0	0	0	0	0	0	0	0
Zotu1231	3	6	7	9	7	16	0	0	0	0
Zotu3619	2	10	8	0	0	6	0	0	0	0
Zotu4328	24	0	2	0	0	0	0	0	0	0
Zotu1924	3	43	2	5	0	1	0	0	0	0
Zotu941	3	31	0	3	1	35	0	0	0	0
Zotu1043	4	4	0	0	0	59	0	0	0	0
Zotu594	13	16	18	4	32	8	17	0	7	0
Zotu1258	11	7	3	5	13	17	0	0	3	0
Zotu2899	1	0	18	0	0	0	0	0	0	0
Zotu4426	1	7	0	7	3	2	0	0	0	0
Zotu4606	3	2	5	0	3	0	0	0	3	0
Zotu1614	22	1	0	0	1	7	2	0	3	4
Zotu2876	10	0	1	0	0	0	0	0	10	0
Zotu2968	6	4	0	0	0	5	0	0	0	0
Zotu3946	12	0	0	0	0	0	0	0	0	0
Zotu1940	25	0	1	1	1	1	0	0	1	0
Zotu3251	6	1	1	0	0	4	5	0	1	1
Zotu4262	1	22	0	5	0	1	0	0	0	0
Zotu972	58	0	0	0	0	0	0	0	0	0
Zotu567	2	36	0	5	16	65	4	0	0	0
Zotu4132	2	0	0	1	1	0	4	6	7	9
Zotu483	7	2	1	0	98	14	0	0	2	0
Zotu2338	15	4	6	0	4	8	0	0	30	9
Zotu908	3	10	6	2	17	21	1	0	0	1
Zotu2854	13	3	5	1	0	0	0	0	0	0
Zotu2578	6	5	2	6	0	0	0	0	0	0
Zotu3861	17	0	0	0	0	0	0	0	0	0
Zotu1810	21	0	0	7	6	2	0	4	1	0
Zotu2862	22	0	0	2	0	0	0	0	0	0
Zotu328	7	22	31	18	27	38	2	0	4	0
Zotu2110	8	9	6	3	0	6	0	0	0	0
Zotu1786	28	1	1	1	0	0	0	0	0	0
Zotu526	37	3	65	0	0	2	0	0	0	0
Zotu4295	1	6	0	0	0	4	0	0	0	0
Zotu199	2	88	0	22	7	144	0	0	0	0
Zotu449	3	74	8	26	5	26	1	0	0	0
Zotu3992	1	8	4	3	0	9	0	0	0	0
Zotu1153	5	22	0	21	1	7	0	0	0	0
Zotu2237	3	33	0	16	1	8	0	0	0	0
Zotu1585	9	8	1	12	3	1	0	1	0	2
Zotu1173	2	70	2	3	0	5	0	0	0	0
Zotu804	3	6	1	3	2	51	0	0	12	0
Zotu2204	11	12	3	0	12	5	1	5	0	0
Zotu3337	12	0	1	0	0	3	0	0	0	0
Zotu3700	4	4	4	0	0	1	0	0	0	0
Zotu392	1	0	0	0	0	128	0	0	3	0
Zotu573	5	7	0	0	28	1	19	0	49	0
Zotu320	11	6	5	4	6	124	3	0	14	10
Zotu2256	8	17	1	0	0	3	0	0	0	0
Zotu3748	2	6	0	1	0	20	0	0	0	0
Zotu2101	1	1	0	4	2	18	0	0	1	0
Zotu4411	1	7	0	0	10	3	0	0	0	0
Zotu2523	1	7	0	0	4	15	0	0	3	2
Zotu2626	25	0	1	1	1	1	0	0	0	0
Zotu2930	1	2	5	4	0	7	0	0	0	0
Zotu1715	1	25	9	5	1	24	0	0	0	0
Zotu3834	2	12	1	3	0	0	0	0	0	0
Zotu1684	41	0	1	0	0	2	0	0	0	0
Zotu3710	9	0	9	0	0	0	0	0	0	0
Zotu4397	1	8	3	0	2	0	0	0	0	0
Zotu1753	1	1	0	1	8	20	0	0	0	0
Zotu4390	9	1	0	0	0	2	0	0	2	0
Zotu1636	3	6	0	1	0	29	0	0	0	0
Zotu1306	5	11	8	3	4	4	3	0	3	0
Zotu2988	2	15	0	2	0	0	0	0	0	0
Zotu781	4	12	51	0	0	1	0	0	0	0
Zotu417	21	9	1	8	18	30	12	4	23	3
Zotu2908	22	0	0	0	0	0	0	0	0	0
Zotu1694	7	14	0	3	1	23	0	0	3	0
Zotu1327	1	9	0	1	8	28	0	0	0	0
Zotu1515	1	35	2	4	2	9	0	0	0	0
Zotu3556	3	5	0	2	5	18	1	0	5	0
Zotu13	1	1	0	0	3591	1	0	0	12	0
Zotu4177	14	0	0	0	0	0	0	0	0	0
Zotu4331	11	3	1	5	0	12	0	0	1	0
Zotu4406	3	16	2	0	0	1	0	0	0	0
Zotu4325	14	0	0	0	0	0	0	0	0	0
Zotu1939	5	0	0	0	0	21	0	0	0	0
Zotu3086	1	8	8	3	0	9	4	0	0	0
Zotu3053	1	0	0	1	11	4	11	8	0	2
Zotu4464	3	3	0	2	0	9	0	0	0	0
Zotu387	3	157	0	1	0	5	0	0	0	0
Zotu4245	1	0	0	5	3	14	2	0	11	8
Zotu863	4	2	2	0	0	15	38	1	15	0
Zotu15	2	1098	3	1884	1	22	0	0	0	0
Zotu2156	25	0	0	0	0	0	0	0	0	0
Zotu4143	4	3	3	0	5	0	2	0	2	2
Zotu411	2	1	0	8	2	23	35	31	2	31
Zotu1582	1	10	1	8	3	23	0	0	0	0
Zotu855	1	4	0	61	2	8	6	0	0	0
Zotu2396	1	3	0	11	1	0	0	0	0	7
Zotu3210	6	0	1	0	0	6	7	1	1	0
Zotu2656	1	23	3	1	0	2	0	0	0	0
Zotu2137	3	0	18	0	0	0	0	0	0	0
Zotu383	4	24	0	7	19	98	0	0	0	0
Zotu1922	7	6	0	24	6	1	0	0	0	0
Zotu3912	11	0	2	0	0	2	5	0	0	0
Zotu248	8	199	6	16	8	51	0	0	0	0
Zotu2500	4	6	2	2	2	17	0	0	0	0
Zotu4210	2	1	5	0	0	7	0	0	0	0
Zotu627	1	38	0	8	3	34	0	0	0	3
Zotu3820	14	54	2	3	0	9	0	0	0	0
Zotu169	5	243	3	2	5	72	0	0	1	3
Zotu1277	1	29	0	0	0	4	0	0	0	0
Zotu4391	12	0	0	0	0	0	0	0	0	0
Zotu4471	2	0	0	0	0	9	0	0	0	0
Zotu4251	5	0	0	0	0	19	1	0	0	0
Zotu847	3	80	0	1	1	10	0	0	0	0
Zotu1457	6	33	4	1	1	7	0	0	5	0
Zotu1726	3	18	9	0	0	2	0	0	0	0
Zotu2835	6	2	1	0	5	6	4	4	4	3
Zotu460	13	1	0	70	2	48	0	0	2	0
Zotu4456	11	0	0	0	0	2	0	0	0	0
Zotu1855	1	2	22	0	3	0	0	0	0	0
Zotu1657	1	1	4	1	10	22	0	0	0	0
Zotu4486	3	9	1	0	0	14	0	0	0	0
Zotu99	7	473	12	7	10	8	1	0	4	10
Zotu290	5	18	17	74	8	40	9	0	20	5
Zotu3131	5	9	0	9	0	7	0	0	0	0
Zotu3517	4	2	0	0	0	17	0	0	0	0
Zotu2852	1	0	0	0	0	0	21	0	0	0
Zotu1445	1	2	0	0	0	34	0	0	0	0
Zotu1535	9	3	39	0	1	1	0	0	0	0
Zotu785	8	2	55	0	0	3	0	0	0	0
Zotu3647	1	1	2	0	4	5	1	0	3	5
Zotu83	5	248	58	122	6	8	60	91	55	31
Zotu3509	1	11	1	4	0	2	0	0	2	0
Zotu2838	4	8	12	3	0	2	0	0	0	0
Zotu1436	8	13	15	16	0	0	0	0	0	0
Zotu1432	1	63	0	7	1	5	0	0	0	0
Zotu79	2	0	0	1	1	4	0	0	327	405
Zotu259	1	26	13	8	2	159	4	0	3	0
Zotu777	24	1	11	1	0	19	0	0	0	0
Zotu4361	1	0	8	0	0	1	0	0	0	0
Zotu2273	1	7	18	0	2	2	2	10	2	0
Zotu1282	2	28	0	3	2	20	0	0	0	0
Zotu1663	7	12	9	6	3	8	0	0	0	0
Zotu2421	2	15	1	0	3	5	0	0	0	0
Zotu2609	3	11	0	1	0	4	0	0	0	0
Zotu134	2	0	0	65	127	26	49	6	68	18
Zotu1875	1	19	0	13	0	3	0	0	0	0
Zotu3622	3	13	1	4	0	4	0	0	0	0
Zotu3295	1	16	2	2	0	4	0	0	0	0
Zotu685	4	0	0	0	10	79	0	14	9	2
Zotu656	13	6	22	13	3	18	4	0	5	0
Zotu833	2	44	0	18	0	3	0	0	0	0
Zotu4121	6	0	0	0	0	0	0	0	5	0
Zotu414	4	37	0	13	30	57	0	0	3	0
Zotu1116	1	25	0	4	1	14	0	0	0	0
Zotu1705	5	9	13	0	0	16	0	0	0	0
Zotu3485	1	6	0	19	13	11	0	0	0	0
Zotu4215	1	0	0	1	7	9	6	5	4	1
Zotu1961	2	6	0	7	7	17	0	0	0	0
Zotu2642	1	5	6	0	0	17	0	0	0	0
Zotu1888	1	5	0	4	6	21	25	1	10	12
Zotu2520	2	48	0	3	0	7	0	0	0	0
Zotu1709	1	1	0	25	4	19	6	0	0	0
Zotu1522	9	24	7	1	0	3	0	0	0	0
Zotu2516	3	2	2	4	1	19	1	0	1	0
Zotu130	2	22	324	0	0	0	0	0	0	0
Zotu1382	4	2	0	2	1	34	0	0	0	0
Zotu86	2	5	0	595	0	0	0	0	0	0
Zotu3478	9	1	1	0	0	3	0	0	0	0
Zotu4131	2	0	1	0	8	8	0	0	0	0
Zotu1641	1	1	31	0	2	0	3	0	3	2
Zotu23	3	2250	1	0	0	4	0	0	0	0
Zotu109	2	207	57	124	3	78	5	0	0	0
